account_number_id,investment_stock_isin,investment_principal,quantity,investment_time
1,KR7360750004,0,21,2022-09-17
1,KR7133690008,0,13,2022-09-17
1,KR7203780002,0,12,2022-09-17
1,KR7200020006,0,8,2022-09-17
1,KR7251350005,0,7,2022-09-17
1,KR7241180009,0,22,2022-09-17
1,KR7245710009,0,24,2022-09-17
1,KR7195980008,0,15,2022-09-17
1,KR7195980002,0,1,2022-09-17
1,KR7261220008,0,21,2022-09-17
1,KR7130680002,0,21,2022-09-17
1,KR7153130000,0,18,2022-09-17
1,KR7332620004,0,13,2022-09-17
1,CASH,0,1,2022-09-17
2,KR7360750004,0,23,2022-09-17
2,KR7133690008,0,15,2022-09-17
2,KR7203780002,0,17,2022-09-17
2,KR7200020006,0,22,2022-09-17
2,KR7251350005,0,24,2022-09-17
2,KR7241180009,0,19,2022-09-17
2,KR7245710009,0,24,2022-09-17
2,KR7195980008,0,5,2022-09-17
2,KR7195980002,0,20,2022-09-17
2,KR7261220008,0,14,2022-09-17
2,KR7130680002,0,18,2022-09-17
2,KR7153130000,0,11,2022-09-17
2,KR7332620004,0,6,2022-09-17
2,CASH,0,1,2022-09-17
3,KR7360750004,0,18,2022-09-17
3,KR7133690008,0,8,2022-09-17
3,KR7203780002,0,1,2022-09-17
3,KR7200020006,0,1,2022-09-17
3,KR7251350005,0,24,2022-09-17
3,KR7241180009,0,2,2022-09-17
3,KR7245710009,0,3,2022-09-17
3,KR7195980008,0,11,2022-09-17
3,KR7195980002,0,22,2022-09-17
3,KR7261220008,0,18,2022-09-17
3,KR7130680002,0,24,2022-09-17
3,KR7153130000,0,15,2022-09-17
3,KR7332620004,0,16,2022-09-17
3,CASH,0,1,2022-09-17
4,KR7360750004,0,13,2022-09-17
4,KR7133690008,0,25,2022-09-17
4,KR7203780002,0,3,2022-09-17
4,KR7200020006,0,1,2022-09-17
4,KR7251350005,0,11,2022-09-17
4,KR7241180009,0,11,2022-09-17
4,KR7245710009,0,20,2022-09-17
4,KR7195980008,0,18,2022-09-17
4,KR7195980002,0,17,2022-09-17
4,KR7261220008,0,10,2022-09-17
4,KR7130680002,0,13,2022-09-17
4,KR7153130000,0,8,2022-09-17
4,KR7332620004,0,17,2022-09-17
4,CASH,0,1,2022-09-17
5,KR7360750004,0,22,2022-09-17
5,KR7133690008,0,16,2022-09-17
5,KR7203780002,0,21,2022-09-17
5,KR7200020006,0,22,2022-09-17
5,KR7251350005,0,10,2022-09-17
5,KR7241180009,0,17,2022-09-17
5,KR7245710009,0,19,2022-09-17
5,KR7195980008,0,2,2022-09-17
5,KR7195980002,0,10,2022-09-17
5,KR7261220008,0,0,2022-09-17
5,KR7130680002,0,5,2022-09-17
5,KR7153130000,0,8,2022-09-17
5,KR7332620004,0,16,2022-09-17
5,CASH,0,1,2022-09-17
6,KR7360750004,0,6,2022-09-17
6,KR7133690008,0,15,2022-09-17
6,KR7203780002,0,9,2022-09-17
6,KR7200020006,0,19,2022-09-17
6,KR7251350005,0,8,2022-09-17
6,KR7241180009,0,0,2022-09-17
6,KR7245710009,0,4,2022-09-17
6,KR7195980008,0,16,2022-09-17
6,KR7195980002,0,0,2022-09-17
6,KR7261220008,0,14,2022-09-17
6,KR7130680002,0,6,2022-09-17
6,KR7153130000,0,8,2022-09-17
6,KR7332620004,0,13,2022-09-17
6,CASH,0,1,2022-09-17
7,KR7360750004,0,25,2022-09-17
7,KR7133690008,0,21,2022-09-17
7,KR7203780002,0,7,2022-09-17
